CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country  
1,Alfreds Futterkiste,Maria Anders,Obere Str. 57,Berlin,12209,Germany  
2,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,05021,Mexico  
3,Antonio Moreno Taquería,Antonio Moreno,Mataderos 2312,México D.F.,05023,Mexico  
4,Blauer See Delikatessen,Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany  
5,Blondel père et fils,Frédérique Citeaux,24, place Kléber,Strasbourg,67000,France  
6,Bon app',Jean Dupont,123 Rue de Paris,Paris,75000,France  
7,Chocolaterie Richart,Madame Richart,5 Rue Richelieu,Paris,75001,France  
8,Cornershop,George Melville,10 Market St.,London,EC1 4ZB,UK  
9,Delicias de España,Javier Rodríguez,Calle de la Estrella 14,Madrid,28004,Spain  
10,Dolores's Fine Foods,Dolores Martinez,45 Avenue des Champs-Élysées,Paris,75008,France  
11,Eurasian Delicacies,Ming Li,99 Avenue de la Libération,Beijing,100000,China  
12,Feinkost Käfer,Claudia Käfer,Adamsstraße 12,München,80331,Germany  
13,Fiesta Foods,Leonardo Ramirez,Calle San Juan 23,Santiago,75001,Chile  
14,Forno di Napoli,Gino Rossi,Via Roma 15,Napoli,80100,Italy  
15,Gastronomia S.r.l.,Luisa Bianchi,Viale Margherita 32,Roma,00100,Italy  
16,Gourmet Delights,Samuel Becker,1 Hauptstraße,Berlin,10115,Germany  
17,Jamaica Imports,Marley Smith,78 Kingston Ave,Kingston,JA,JA12345,Jamaica  
18,Jing's Fresh Produce,Jing Chen,88 Flower St,Beijing,100020,China  
19,Nordic Seafood,Ola Hansen,27 Fisketorvet,Copenhagen,1400,Denmark  
20,Old World Bakery,Anna Schmidt,16 W. Main St.,Amsterdam,1012 AB,Netherlands  
21,South American Treats,Pedro Alvarado,Calle Florida 100,Buenos Aires,C1002ARG,Argentina  
22,Tokyo Delicacies,Akira Yamamoto,1-2-3 Shibuya,Tokyo,150-0042,Japan  
23,Vincent's Wine Bar,Vincent Roy,34 Rue des Vins,Strasbourg,67000,France
